# derived_products_candidates.csv - HUMAN-GATED product-depth candidates (src/deepen.py).
# NOT auto-imported. Review each row, then import selectively like private_products_manual.csv.
# source_type: serff_derived  = product core recovered from a SERFF filing title (evidence =
#   SERFF tracking number). brochure_derived = product named in a doc_url brochure/page
#   (evidence = the doc URL). confidence: high = matched a named-product pattern; low = matched
#   only a peril noun / distinctive acronym and may be an endorsement or filing variant - verify.
# bucket=private, program=private_nonreinsured for every row. Dedup already run vs existing
# catalog (same aip + normalized name/acronym) and within this file.
aip_code,name,peril_type,coverage_type,source_type,evidence,confidence
NA,Biotech Yield Assurance,,,serff_derived,SERFF NAUI-126950395,high
NA,Production Hail,hail,named-peril,serff_derived,SERFF NAUI-130948905,high
NA,Crop Hail,hail,named-peril,serff_derived,SERFF NAUI-125379400,low
NA,Green Snap Endorsement,hail,endorsement,serff_derived,SERFF NAUI-128004458,low
NA,Named Peril Replant,replant,named-peril,serff_derived,SERFF NAUI-125417007,low
PL,Biotech Yield Assurance,,,serff_derived,SERFF PRAG-126989668,high
PL,MPowerD,,,serff_derived,SERFF PRAG-131135537,high
PL,Price-Flex,,,serff_derived,SERFF PRAG-129277440,high
PL,RPowerD,,,serff_derived,SERFF PRAG-131334481,high
PL,Revenue Band & Yield Band Coverage,revenue,,serff_derived,SERFF PRAG-127012755,high
PL,Weather Insurance Policy,,,brochure_derived,https://www.proag.com/products/private-products/weather-products/,high
PL,Fire Coverage,fire,,brochure_derived,https://www.proag.com/products/private-products/crop-fire/,low
PL,Replant Option,replant,supplemental,serff_derived,SERFF PRAG-131803982,low
PL,Seed Corn Endorsement,,endorsement,serff_derived,SERFF PRAG-128137221,low
PS,Revenue Boost,revenue,,serff_derived,SERFF PALO-134798531,high
PS,Grain Fire (Named Peril),fire,named-peril,serff_derived,SERFF PALO-134810482,low
PS,Named Peril Replant,replant,named-peril,serff_derived,SERFF PALO-134725522,low
RH,Fire Coverage,fire,,brochure_derived,https://www.rainhail.com/d/ps/coverages/stand-alone,low
RH,Replant Option,replant,,brochure_derived,https://www.rainhail.com/d/ps/coverages/crop-hail,low
RH,Seed Corn Endorsement,,endorsement,brochure_derived,https://www.rainhail.com/d/ps/coverages/stand-alone,low
WN,APCO,,,serff_derived,SERFF ARMT-129304257,high
WN,Biotech Yield Assurance,,,serff_derived,SERFF ARMT-126664016,high
WN,Production Cost Insurance Policy,,,serff_derived,SERFF ARMT-131217628,high
WN,REVCO,,,serff_derived,SERFF ARMT-129835811,high
WN,RPowerD,,,serff_derived,SERFF ARMT-131221399,high
WN,Revenue Band & Yield Band Coverage,revenue,,serff_derived,SERFF ARMT-132971786,high
WN,Select Programs,,,serff_derived,SERFF ARMT-132689474,high
WN,Weather Insurance Policy,,,serff_derived,SERFF ARMT-129373921,high
WN,ARCH Program,,,serff_derived,SERFF ARMT-132693710,low
WN,Fire Coverage,fire,,brochure_derived,https://www.agrisompo.com/products/private-products/named-peril/,low
